question,answer_0,answer_1,reference_answer
The capital of which US state is named after prospector (and discoverer of local gold in 1880) Joseph Juneau?,"A. Yes.
B. Yes.
C. Yes.
D. Yes.
E. Yes.
F. Yes.
G. Yes.
H. Yes.
I. Yes.
J. Yes.
K. Yes.
L. Yes.
M. Yes.
N. Yes","# Juneau, Alaska

Juneau is the capital city of Alaska, a state in the United States. It is named after Joe Juneau, a gold prospector who discovered gold in nearby Gold Creek in 1880. The city was founded during the Alaska gold rush in 1881. Juneau","The capital of the US state named after Joseph Juneau is Juneau, Alaska."
Name either of the countries in which the Nubian people are found?,"Answer: Sudan

Answer: Sudan, in the northeastern part of the country, is the only known region where the Nubian people are found.

Answer: What language do Nubians speak?

Answer: Nubians speak the Nubi language, which is a member of the Eastern Sudanic languages group.

Answer","The Nubian people are found in two countries: Sudan and Egypt.

The Nubian people are found in two countries: Sudan and Egypt.

The Nubian people are found in two countries: Sudan and Egypt.

The Nubian people are found in two countries: Sudan and Egypt.

The Nubian people are found in two countries",Nubians are located in Northern Sudan and Southern Egypt.
"""Which creature hunts in family groups called """"pods"""" and is the longest and fastest member of the dolphin family ?""","Answer: Yes. The Toothed Whale Shark, a massive filter feeder found in all the world's oceans, does not hunt in family groups called ""pods."" The whale shark is a solitary animal that eats tiny crustaceans and plankton. The whale shark","# Answer:

The creature that hunts in family groups called ""pods"" and is the longest and fastest member of the dolphin family is the common name for the species ""Orca"" or ""Killer Whale"".

Orcas are the largest member of the dolphin family and are known for their","Currently, there are 49 dolphin and porpoise species that are grouped into six families: the oceanic dolphin family is by far the largest with 38 members; the porpoise family has seven members; and there are four river dolphin families, each containing just one species. 

The answer is not ""which creature"" but rather which family, family group, or pod."
"When Britain's first Labour Prime Minister, Ramsay MacDonald, came to power for the second time his appointment was almost immediately followed by what world-affecting event?",Ramssey MacDonald's first term as Prime Minister of a Labour government had ended in 1924 when he was expelled from the party for supporting the Lloyd George coalition government during the General Strike. He later served as a non-party member of parliament and as a member,"The Great Depression

The Great Depression was a severe worldwide economic slump that took place mostly during the 1930s, beginning in the United States. The timing of the Great Depression coincided with the start of Ramsay MacDonald's second term as Prime","When Ramsay MacDonald was reappointed as Prime Minister of the United Kingdom in 1929, it was immediately followed by the formation of the second Labour government . MacDonald was the first Labour Prime Minister, and he held the office in the Labour governments of 1924 and 1929-1931 . By 1929, Britain was suffering from the effects of the depression, and MacDonald formed a national government to cut spending and defend the gold standard . The government was forced to abandon the gold standard after an armed naval mutiny, and MacDonald called for a general election to seek a mandate to fix the economy ."
Who won the San Marino Grand Prix in 2005,"?

The San Marino Grand Prix of 2005 was won by Kimi Raikkonnen, driving for McLaren-Mercedes. The race took place on September 11, 2005, and was the penultimate round of the 2005 Formula One season.

Kimi Raikkonen started from pole position and led the race from","?

The 2005 San Marino Grand Prix (formally the XXXI Gran Premio Marca) was a Formula One motor race held on 10 April 2005 at the Autodromo Enzo e Dino Ferrari in Imola, Italy. The race was won by Fernando Alonso of Renault, who started from pole position.

Who won the",The 2005 San Marino Grand Prix was won by Renault driver Fernando Alonso.
"""In which quiz show would you hear the words """"Is that your final answer?'?""","in the last question of the quiz show ""Jeopardy!"", where contestants must identify the first name of a person or thing for a single dollar amount in US history, geography, popular culture, and more.

Answer: Final Jeopardy!

In the last question of the quiz show ""Jeopardy!"", contestants must identify","""Jeopardy!""

""Jeopardy!"" is a long-running American television quiz show where the answers are given in the form of questions, and contestants must phrase their responses in the form of a question. The show is known for its catchphrase, ""Is that your final answer?"" which is used by the host to confirm that a contestant is","""Is that your final answer?"" is a catchphrase from the American game show Who Wants to Be a Millionaire ."
In which US state were the Salem witch trials held?,"A. Salem, Massachusetts
B. Salem, New Hampshire
C. Salem, Washington D.C.
D. Salem, Wyoming
E. Salem, Puerto Rico
F. Salem, Guam
G. Salem, Uganda
H. Salem, Y.

A. Salem, Massachusetts
B. Salem, New Hampshire
C","The Salem witch trials were held in the US state of Massachusetts. The trials took place in 1692 and 1693, and resulted in the execution of 20 people who were accused of witchcraft. The trials were a part of the larger witch craze that swept through Europe and the American colonies during the 16th and 17th centuries.

The",The Salem witch trials took place in colonial Massachusetts .
"""Which German composer was assistant to Wagner at Bayreuth 1880-1, taught at Barcelona, Frankfurt and Berlin, and is best known for his opera """"Hansel and Gretel""""?""","Answer: Carl Toto Kraigelstein (1827-1897), German composer and teacher, is not as well-known as Richard Wagner (1813-1883), who revolutionized","""Engelbert Humperdinck""

This is incorrect. Engelbert Humperdinck was a British pop singer who achieved fame in the 1960s and 1970s. The composer you",Engelbert Humperdinck.
Which pop group’s last UK number 1 single was entitled ‘Holler’?,"Answer: The Spice Girls last UK number 1 single was entitled 'Viva Forever'.

Answer: The Spice Girls last UK number 1 single was 'Viva Forever'.

Answer: The Spice Girls last UK number 1 single was 'Viva Forever'.

Answer: The Spice Girls last UK number","The Saturdays



The Saturdays

### Wrong!

Which pop group’s last UK number 1 single was entitled ‘What Took You So Long’?

The Saturdays

### Wrong!

Which pop group","""Holler"" is a song by the Spice Girls ."
"The name of what renowned institution comes from what a group of French knights, known for their lavish feasts, hung their awarded crosses from?","A. The Cross of the Holy Sepulchre
B. The Cross of Saint Louis
C. The Cross of the Te QUVla
D. The Cross of the Hospitallers
E. The Cross of Saint John of Acre
F. The Cross of Saint Thomas of Villiers","# The Order of the Golden Fleece

The Order of the Golden Fleece, also known as the Most Noble and Illustrious Order of the Golden Fleece, is a chivalric order that was founded in 1430 by Philip the Good, Duke of Burgundy","The University of Notre Dame was named in honor of Our Lady in French, ""L'Université de Notre Dame du Lac,"" by Father Edward Sorin."
"In which English city can you find an old street called The Shambles containing many overhanging timber-framed buildings, some dating back to the 14th century ? Amoing the buildings of The Shambles is a shrine to Saint Margaret Clitherow who was married and livd in a shop there.","The street was a centre for butchers and fishmongers until the 19th century, but now houses a variety of shops and e","She was executed for refusing to recognise the authority of the Church of England during the reign of Queen Mary.

The Shambles is","The Shambles is an old street in York, England, with overhanging timber-framed buildings, some dating back to the 14th century.   The architecture which now appears so quaint had a very practical purpose. The overhanging timber-framed fronts of the buildings are deliberately close-set so as to give shelter to the ‘wattle and daub’ walls below. This would also have protected the meat from any direct sunshine.  The Shambles is often called Europe's best-preserved medieval street, although the name is also used to collectively refer to the surrounding maze of narrow, twisting lanes and alleys as well. The street itself is mentioned in the Domesday Book, so we know that it has been in continuous existence."
"The Mason-Dixon Line, surveyed by Charles Mason and Jeremiah Dixon, which became a popular name for the dividing line between the slave and free states, is the boundary between which two states of the USA?","Answer: Maryland and Pennsylvania

Answer: Maryland and Pennsylvania

Answer: Maryland and Pennsylvania

Answer: Maryland and Pennsylvania

Answer: Maryland and Pennsylvania

Answer: Maryland and Pennsylvania

Answer","# Maryland and Pennsylvania

The Mason-Dixon Line, surveyed by Charles Mason and Jeremiah Dixon, which became a popular name for the dividing line between the slave and free states, is the boundary between the states of Maryland","The Mason-Dixon Line, surveyed by Charles Mason and Jeremiah Dixon, is the boundary between the states of Pennsylvania, Maryland, Delaware, and West Virginia.  It was not called the Mason-Dixon Line when it was first drawn; instead, it got this name during the Missouri Compromise, which was agreed to in 1820. It was used to reference the boundary between states where slavery was legal and states where it was not, after which both the name and its meaning became more widespread and it eventually became part of the border between the seceded Confederate States of America."
The 1792 Battle of Valmy in which a citizen army defeated the Prussian army is significant for saving/preserving what?,"1. The spirit of the Revolutionary and citizen forces: The Battle of Valmy on August 11 and 1792, and again on August 19 and 20, 1993, and again on August 6, 1793, and again on August 26","A. The French Revolution
B. The French Republic
C. The French Monarchy
D. The French Empire

Correct Answer:
A. The French Revolution

Explanation:
The Battle of Valmy was a significant event in the French Revolution. It was fought on September 20,",The French Revolution was saved/preserved .
